,0,1,2,3,4,5,6,7,8,9
0,26,12,0,1,0,0,1,0,0,1
1,28,13,1,0,0,0,1,0,0,0
2,27,13,0,1,0,0,1,0,0,0
3,26,13,0,1,0,0,0,1,0,1
4,28,12,0,0,0,1,0,0,1,0
5,29,12,0,0,0,1,0,1,0,1
6,28,12,0,0,0,1,0,0,1,0
7,29,12,0,0,0,1,0,1,0,1
8,27,12,0,0,1,0,1,0,0,0
9,27,11,0,0,1,0,0,1,0,0
10,26,11,0,1,0,0,0,0,1,1
11,28,12,0,0,0,1,0,0,1,0
12,28,13,1,0,0,0,1,0,0,0
13,29,13,0,0,0,1,0,0,1,1
14,28,12,0,0,0,1,0,0,1,0
15,29,12,0,0,0,1,0,1,0,1
16,28,12,0,0,0,1,0,0,1,0
17,29,12,0,0,0,1,0,1,0,1
18,28,12,0,0,0,1,0,0,1,0
19,29,12,0,0,0,1,0,1,0,1
20,28,12,0,0,0,1,0,0,1,0
21,28,13,1,0,0,0,1,0,0,0
22,29,13,0,0,0,1,0,0,1,1
23,27,19,0,1,0,0,1,0,0,0
24,27,18,0,0,1,0,1,0,0,0
25,26,18,0,1,0,0,0,0,1,1
26,28,13,1,0,0,0,1,0,0,0
27,27,13,0,1,0,0,1,0,0,0
28,26,13,0,1,0,0,0,1,0,1
29,27,13,1,0,0,0,0,1,0,0
30,26,13,0,1,0,0,1,0,0,1
31,28,12,0,0,0,1,0,0,1,0
32,28,11,0,0,1,0,0,0,1,0
33,29,11,0,0,0,1,1,0,0,1
34,27,13,1,0,0,0,0,1,0,0
35,26,13,0,1,0,0,1,0,0,1
36,27,13,1,0,0,0,0,1,0,0
37,26,13,0,1,0,0,1,0,0,1
38,27,13,1,0,0,0,0,1,0,0
39,27,14,1,0,0,0,0,1,0,0
40,26,14,0,1,0,0,1,0,0,1
41,26,12,0,1,0,0,1,0,0,1
42,28,12,0,0,0,1,0,0,1,0
43,28,11,0,0,1,0,0,0,1,0
44,29,11,0,0,0,1,1,0,0,1
45,26,12,0,1,0,0,1,0,0,1
46,27,13,1,0,0,0,0,1,0,0
47,26,13,0,1,0,0,1,0,0,1
48,28,13,0,0,0,1,0,0,1,0
49,28,12,0,0,1,0,0,0,1,0
50,29,12,0,0,0,1,1,0,0,1
51,26,12,0,1,0,0,1,0,0,1
52,26,12,0,1,0,0,1,0,0,1
53,26,12,0,1,0,0,1,0,0,1
54,27,13,1,0,0,0,0,1,0,0
55,26,13,0,1,0,0,1,0,0,1
56,28,12,0,0,0,1,0,0,1,0
57,29,12,0,0,0,1,0,1,0,1
58,28,12,0,0,1,0,0,1,0,0
59,28,11,0,0,1,0,0,1,0,0
60,29,11,0,0,0,1,1,0,0,1
61,28,12,0,0,0,1,0,0,1,0
62,28,11,0,0,1,0,0,0,1,0
63,29,11,0,0,0,1,1,0,0,1
64,27,14,1,0,0,0,0,1,0,0
65,28,14,0,0,0,1,0,0,1,0
66,29,14,0,0,0,1,0,1,0,1
67,27,13,1,0,0,0,0,1,0,0
68,27,14,1,0,0,0,0,1,0,0
69,26,14,0,1,0,0,1,0,0,1
70,28,10,0,0,1,0,0,1,0,0
71,27,10,0,1,0,0,0,0,1,0
72,26,10,0,1,0,0,0,1,0,1
73,26,12,0,1,0,0,1,0,0,1
74,26,12,0,1,0,0,1,0,0,1
75,27,14,0,1,0,0,1,0,0,0
76,27,13,0,0,1,0,1,0,0,0
77,26,13,0,1,0,0,0,0,1,1
78,27,13,1,0,0,0,0,1,0,0
79,28,13,0,0,0,1,0,0,1,0
80,29,13,0,0,0,1,0,1,0,1
81,27,13,1,0,0,0,0,1,0,0
82,26,13,0,1,0,0,1,0,0,1
83,27,14,0,1,0,0,1,0,0,0
84,27,15,1,0,0,0,0,0,1,0
85,26,15,0,1,0,0,1,0,0,1
86,28,13,1,0,0,0,1,0,0,0
87,28,14,1,0,0,0,0,1,0,0
88,29,14,0,0,0,1,0,0,1,1
89,27,11,0,1,0,0,0,0,1,0
90,27,10,0,0,1,0,1,0,0,0
91,26,10,0,1,0,0,0,0,1,1
92,27,13,1,0,0,0,0,1,0,0
93,27,14,1,0,0,0,0,1,0,0
94,26,14,0,1,0,0,1,0,0,1
95,26,12,0,1,0,0,1,0,0,1
96,26,12,0,1,0,0,1,0,0,1
97,28,12,0,0,0,1,0,0,1,0
98,29,12,0,0,0,1,0,1,0,1
99,28,12,0,0,0,1,0,0,1,0
100,29,12,0,0,0,1,0,1,0,1
101,26,12,0,1,0,0,1,0,0,1
102,28,14,1,0,0,0,1,0,0,0
103,28,15,1,0,0,0,0,1,0,0
104,29,15,0,0,0,1,0,0,1,1
105,26,12,0,1,0,0,1,0,0,1
106,26,12,0,1,0,0,1,0,0,1
107,28,12,0,0,0,1,0,0,1,0
108,28,13,1,0,0,0,1,0,0,0
109,29,13,0,0,0,1,0,0,1,1
110,27,13,0,1,0,0,1,0,0,0
111,27,14,1,0,0,0,0,0,1,0
112,26,14,0,1,0,0,1,0,0,1
113,27,13,1,0,0,0,0,1,0,0
114,26,13,0,1,0,0,1,0,0,1
115,28,12,0,0,0,1,0,0,1,0
116,29,12,0,0,0,1,0,1,0,1
117,27,13,1,0,0,0,0,1,0,0
118,28,13,0,0,0,1,0,0,1,0
119,29,13,0,0,0,1,0,1,0,1
120,28,12,0,0,1,0,0,0,1,0
121,28,11,0,0,1,0,0,1,0,0
122,29,11,0,0,0,1,1,0,0,1
123,27,13,1,0,0,0,0,1,0,0
124,26,13,0,1,0,0,1,0,0,1
125,27,13,1,0,0,0,0,1,0,0
126,26,13,0,1,0,0,1,0,0,1
127,28,13,1,0,0,0,1,0,0,0
128,27,13,0,1,0,0,1,0,0,0
129,26,13,0,1,0,0,0,1,0,1
130,28,12,0,0,1,0,0,0,1,0
131,27,12,0,1,0,0,0,0,1,0
132,26,12,0,1,0,0,0,1,0,1
133,28,12,0,0,0,1,1,0,0,0
134,28,13,1,0,0,0,1,0,0,0
135,29,13,0,0,0,1,0,0,1,1
136,28,12,0,0,0,1,0,0,1,0
137,28,11,0,0,1,0,0,0,1,0
138,29,11,0,0,0,1,1,0,0,1
139,28,13,1,0,0,0,1,0,0,0
140,28,14,1,0,0,0,0,1,0,0
141,29,14,0,0,0,1,0,0,1,1
142,26,12,0,1,0,0,1,0,0,1
143,28,13,0,0,1,0,0,0,1,0
144,28,12,0,0,1,0,0,1,0,0
145,29,12,0,0,0,1,1,0,0,1
146,26,12,0,1,0,0,1,0,0,1
147,28,12,0,0,0,1,0,0,1,0
